# Species	Genes	Alg.-Conn.	H_tartakovskyi.faa	P_berghei.faa	P_cynomolgi.faa	P_faciparum.faa	P_knowlesi.faa	P_vivax.faa	P_yoelii.faa	T_gondii.faa
8	15	0.12	1107_g	1717_g,4836_g	1612_g,1733_g	1561_g,1443_g	1673_g,1775_g	1704_g,1587_g	2664_g,2549_g	14_g,376_g
7	9	0.431	*	5520_g,3408_g	2582_g	1067_g	2654_g	2557_g	2328_g	3433_g,2752_g
7	9	0.424	*	6534_g	4461_g	2618_g	4567_g	5672_g,4466_g	4004_g	5655_g,6591_g
7	9	0.315	*	4263_g	2107_g	812_g	2155_g	2066_g,5676_g	1162_g	10456_g,12803_g
7	9	0.286	*	5470_g,910_g	4431_g	2586_g	4535_g	4434_g	4033_g	11173_g,11970_g
7	9	0.265	*	5516_g,1008_g	1393_g	1649_g	1438_g	1367_g	4826_g	9187_g,13478_g
7	9	0.222	*	13_g,4880_g	3307_g	892_g	3376_g	3286_g	3254_g	579_g,594_g
7	9	0.222	*	4202_g	1245_g	1793_g	1291_g	1224_g	4684_g,613_g	9891_g,12632_g
7	9	0.222	*	4257_g	4532_g	2693_g	2551_g	4541_g,2439_g	3935_g	2840_g,3521_g
7	9	0.222	*	979_g,5548_g	2638_g	737_g	2710_g	2614_g	726_g	9857_g,12667_g
7	9	0.211	*	3242_g,3183_g	2171_g	2154_g	2227_g	2128_g	1223_g	10593_g,11390_g
7	9	0.204	*	1449_g,6271_g	4663_g	2816_g	4773_g	4662_g	3809_g	10696_g,11493_g
7	9	0.194	569_g	3468_g	3661_g	3309_g	3745_g	5565_g,3633_g,5488_g	3084_g	*
7	9	0.169	*	112_g,2983_g	1129_g	1902_g	1169_g	1111_g	499_g	9678_g,12983_g
7	9	0.153	765_g	3644_g	2168_g	2151_g	2224_g	5522_g,5563_g,2125_g	1220_g	*
7	9	0.132	*	4085_g	4266_g	3865_g	4382_g	5269_g,4275_g	2304_g	10472_g,12787_g
7	9	0.111	*	974_g	2220_g	2207_g	2280_g	2177_g	1274_g	12780_g,10931_g,11728_g
7	9	0.108	*	3894_g,1400_g	994_g	279_g	1026_g	978_g	368_g	11193_g,11990_g
7	8	0.75	*	1124_g	2363_g	2352_g	2428_g	2323_g	1416_g	6821_g,8092_g
7	8	0.75	*	1163_g	3799_g	4037_g	3879_g	3794_g	2276_g	4089_g,8869_g
7	8	0.75	*	132_g	471_g	518_g	484_g	453_g	1657_g	10591_g,11388_g
7	8	0.75	*	1537_g	4397_g	3735_g	4507_g	4403_g	2824_g	2000_g,2259_g
7	8	0.75	*	1885_g	4341_g	3791_g	4447_g	4351_g	2878_g	4758_g,5230_g
7	8	0.75	*	18_g	36_g	4703_g	43_g	33_g	900_g	2998_g,3679_g
7	8	0.75	*	2516_g	3429_g	5119_g	3506_g	3425_g	4591_g	11021_g,11818_g
7	8	0.75	*	254_g	1958_g	83_g	1995_g	1918_g	1020_g	9708_g,12953_g
7	8	0.75	*	2770_g	3685_g	3332_g	3772_g	3611_g	3061_g	2817_g,3498_g
7	8	0.75	*	3033_g	1240_g	1796_g	1286_g	1221_g	610_g	10174_g,12348_g
7	8	0.75	*	3111_g	882_g	394_g	917_g	862_g	266_g	9130_g,13536_g
7	8	0.75	*	3132_g	959_g	314_g	991_g	944_g	334_g	405_g,769_g
7	8	0.75	*	3314_g	409_g	574_g	420_g	396_g	1710_g	11291_g,12088_g
7	8	0.75	*	3438_g	800_g	472_g	837_g	786_g	191_g	4704_g,5176_g
7	8	0.75	*	352_g	2215_g	2197_g	2274_g	2171_g	1267_g	7255_g,7664_g
7	8	0.75	*	3898_g	4195_g	3152_g	4294_g	4206_g	631_g	7384_g,7534_g
7	8	0.75	*	4136_g	1534_g	2135_g	1581_g	1512_g	3354_g	4512_g,8527_g
7	8	0.75	*	4270_g	995_g	278_g	1027_g	979_g	369_g	3112_g,3793_g
7	8	0.75	*	6481_g	3606_g	3258_g	3690_g	3683_g	3133_g	9952_g,12570_g
7	8	0.75	*	6641_g	412_g	571_g	423_g	399_g	1708_g	9041_g,13622_g
7	8	0.75	*	6888_g	2403_g	2390_g	2433_g	2361_g	1454_g	10937_g,11734_g
7	8	0.75	*	691_g	2631_g	742_g	2704_g	2608_g	721_g	6946_g,7965_g
7	8	0.75	*	6998_g	138_g	4607_g	151_g	131_g	805_g	936_g,1753_g
7	8	0.75	*	872_g	2830_g	1261_g	2905_g	2802_g	1881_g	104_g,287_g
7	8	0.75	*	998_g	1263_g	1778_g	1309_g	1242_g	4701_g	2113_g,2444_g
7	8	0.75	1047_g	322_g	1821_g	1356_g	1863_g	1787_g	*	4936_g,5408_g
7	8	0.75	238_g	3039_g	3635_g	3286_g	*	3658_g	3108_g	10066_g,12455_g
7	8	0.625	*	101_g	1222_g	1814_g	1268_g	1203_g	591_g	4017_g,8797_g
7	8	0.625	*	1026_g	1468_g	2073_g	1515_g	1447_g	4114_g	10286_g,12238_g
7	8	0.625	*	1191_g	1140_g	1890_g	1183_g	1123_g	509_g	2872_g,3553_g
7	8	0.625	*	1325_g	810_g	463_g	846_g	795_g	201_g	6677_g,5571_g
7	8	0.625	*	1712_g	970_g	303_g	1002_g	955_g	345_g	10738_g,11535_g
7	8	0.625	*	1761_g	377_g	604_g	385_g	367_g	1739_g	5833_g,6415_g
7	8	0.625	*	2196_g	357_g	625_g	364_g	346_g	1759_g	4621_g,5093_g
7	8	0.625	*	2362_g	105_g	4639_g	113_g	98_g	834_g	9249_g,13418_g
7	8	0.625	*	2464_g	2508_g	2501_g	2583_g	2469_g	1552_g	9154_g,13512_g
7	8	0.625	*	2602_g	531_g	3639_g	546_g	510_g	1597_g	6072_g,6180_g
7	8	0.625	*	2751_g	1918_g	44_g	1952_g	1880_g	981_g	457_g,717_g
7	8	0.625	*	2865_g	4437_g	2592_g	4541_g	4440_g	4028_g	398_g,777_g
7	8	0.625	*	2879_g	213_g	4535_g	225_g	202_g	4402_g	1870_g,2391_g
7	8	0.625	*	2892_g	1993_g	118_g	2033_g	1952_g	1053_g	6056_g,6196_g
7	8	0.625	*	3092_g	1480_g	2084_g	1526_g	1458_g	3306_g	108_g,283_g
7	8	0.625	*	3103_g	757_g	3413_g	793_g	733_g	42_g	3971_g,8751_g
7	8	0.625	*	3106_g	754_g	3416_g	790_g	730_g	45_g	9337_g,13333_g
7	8	0.625	*	3229_g	680_g	3494_g	703_g	655_g	118_g	2015_g,2244_g
7	8	0.625	*	3249_g	3878_g	4118_g	3961_g	3871_g	2193_g	6934_g,7977_g
7	8	0.625	*	3259_g	257_g	4490_g	275_g	246_g	4450_g	2893_g,3574_g
7	8	0.625	*	3683_g	2277_g	2265_g	2343_g	2238_g	1331_g	2880_g,3561_g
7	8	0.625	*	467_g	232_g	4514_g	247_g	220_g	4423_g	2967_g,3648_g
7	8	0.625	*	524_g	2957_g	1145_g	3034_g	2922_g	3402_g	2139_g,2420_g
7	8	0.625	*	52_g	2245_g	2230_g	2304_g	2202_g	1297_g	4574_g,8589_g
7	8	0.625	*	6742_g	2586_g	1071_g	2658_g	2561_g	678_g	10637_g,11434_g
7	8	0.625	*	6797_g	3588_g	3241_g	3672_g	3700_g	3148_g	6848_g,8066_g
7	8	0.625	*	6847_g	491_g	3680_g	502_g	471_g	1636_g	10112_g,12409_g
7	8	0.625	*	6860_g	848_g	428_g	883_g	830_g	234_g	10127_g,12394_g
7	8	0.625	*	693_g	1285_g	1756_g	1330_g	1265_g	4722_g	4727_g,5199_g
7	8	0.625	*	7232_g	75_g	4667_g	83_g	70_g	864_g	6715_g,8194_g
7	8	0.625	*	925_g	876_g	400_g	911_g	856_g	260_g	2841_g,3522_g
7	8	0.625	*	995_g	1227_g	1809_g	1273_g	1208_g	596_g	10987_g,11784_g
7	8	0.625	118_g	*	2313_g	2301_g	2379_g	2271_g	1366_g	4729_g,5201_g
7	8	0.625	1386_g	324_g	2735_g	4390_g	*	2706_g	1975_g	9434_g,13233_g
7	8	0.625	447_g	*	497_g	3674_g	508_g	477_g	1630_g	1937_g,2324_g
7	8	0.625	842_g	*	914_g	359_g	953_g	896_g	298_g	9259_g,13409_g
7	8	0.625	931_g	588_g	4155_g	3116_g	*	4170_g	3612_g	9221_g,13444_g
7	8	0.573	*	1023_g	3869_g	4109_g	3952_g	3862_g	2202_g	10025_g,12493_g
7	8	0.573	*	169_g	2350_g	2337_g	2416_g	2308_g	1402_g	8505_g,4490_g
7	8	0.573	*	2499_g	1536_g	2138_g	1583_g	1514_g	3355_g	11207_g,12004_g
7	8	0.573	*	3192_g	1797_g	1381_g	1838_g	1764_g	2490_g	1365_g,1275_g
7	8	0.573	*	3901_g	521_g	3649_g	537_g	500_g	1606_g	2586_g,3267_g
7	8	0.573	*	470_g	536_g	3634_g	550_g	515_g	1592_g	53_g,339_g
7	8	0.573	*	554_g	1251_g	1789_g	1297_g	1230_g	4689_g	10576_g,11373_g
7	8	0.573	*	926_g	877_g	399_g	912_g	857_g	261_g	9473_g,13193_g
7	8	0.573	107_g	621_g	2802_g	1235_g	*	2777_g	1907_g	2069_g,2190_g
7	8	0.573	161_g	6438_g	3387_g	5085_g	*	3371_g	4557_g	9551_g,13115_g
7	8	0.573	220_g	2622_g	241_g	4505_g	258_g	*	4433_g	9834_g,12689_g
7	8	0.548	*	1107_g	1547_g	1625_g	1598_g	1526_g	3366_g	110_g,281_g
7	8	0.548	*	2843_g	712_g	3459_g	737_g	690_g	84_g	9636_g,13028_g
7	8	0.548	*	3490_g	3840_g	4079_g	3920_g	3831_g	2234_g	1919_g,2342_g
7	8	0.5	*	1120_g	2263_g	2250_g	2326_g	2223_g	1317_g	9270_g,13398_g
7	8	0.5	*	1269_g	1219_g	1816_g	1265_g	1201_g	589_g	4577_g,8592_g
7	8	0.5	*	1398_g	1473_g	2078_g	1520_g	1452_g	3301_g	5718_g,6529_g
7	8	0.5	*	1967_g	84_g	4659_g	93_g	79_g	854_g	4906_g,5378_g
7	8	0.5	*	2089_g	210_g	4538_g	222_g	199_g	4399_g	9421_g,13247_g
7	8	0.5	*	339_g	3794_g	4032_g	3874_g	3789_g	2281_g	3761_g,3080_g
7	8	0.5	*	3574_g	2146_g	773_g	2197_g	2103_g	1199_g	9166_g,13500_g
7	8	0.5	*	3633_g	3911_g	4150_g	3992_g	3906_g	2162_g	4336_g,8272_g
7	8	0.5	*	3664_g	63_g	4678_g	71_g	58_g	875_g	4510_g,8525_g
7	8	0.5	*	4913_g	2553_g	1037_g	2618_g	2527_g	2359_g	8996_g,12877_g
7	8	0.5	*	6673_g	1558_g	1613_g	1611_g	1537_g	2716_g	4158_g,8938_g
7	8	0.5	*	6800_g	4550_g	2711_g	4665_g	4559_g	3918_g	10912_g,11709_g
7	8	0.5	*	986_g	1989_g	114_g	2025_g	1948_g	1049_g	11275_g,12072_g
7	8	0.5	1276_g	1557_g	4547_g	2708_g	*	4556_g	3921_g	2_g,388_g
7	8	0.5	996_g	1351_g	3408_g	5107_g	*	3391_g	4578_g	8993_g,12874_g
7	8	0.479	*	1130_g	3264_g	935_g	3329_g	3244_g	3216_g	2222_g,2036_g
7	8	0.479	*	1630_g	2570_g	1055_g	2641_g	2546_g	2341_g	5782_g,6467_g
7	8	0.479	*	2036_g	1295_g	1746_g	1340_g	1275_g	4732_g	10121_g,12400_g
7	8	0.479	*	2700_g	3398_g	5097_g	3478_g	3381_g	4569_g	5760_g,6488_g
7	8	0.479	*	2968_g	2398_g	2385_g	2472_g	2356_g	1448_g	1893_g,2369_g
7	8	0.479	*	3272_g	1705_g	1471_g	1760_g	1676_g	2574_g	10869_g,11666_g
7	8	0.479	*	3599_g	1171_g	1861_g	1213_g	1153_g	545_g	2843_g,3524_g
7	8	0.479	*	539_g	626_g	3545_g	642_g	600_g	4343_g	3440_g,2759_g
7	8	0.479	*	6614_g	1829_g	1347_g	1871_g	1797_g	2461_g	7163_g,7754_g
7	8	0.479	29_g	*	2463_g	2456_g	2534_g	2422_g	1508_g	478_g,694_g
7	8	0.479	406_g	*	140_g	4605_g	153_g	133_g	803_g	10717_g,11514_g
7	8	0.473	*	2908_g	727_g	3442_g	757_g	706_g	69_g	3002_g,3683_g
7	8	0.473	*	645_g	559_g	3613_g	575_g	536_g	1572_g	3323_g,2642_g
7	8	0.473	*	985_g	1988_g	113_g	2024_g	1947_g	1048_g	3532_g,2851_g
7	8	0.471	*	3553_g	2428_g	2421_g	2496_g	2385_g	1476_g	2389_g,1872_g
7	8	0.471	*	777_g	862_g	414_g	898_g	842_g	247_g	9121_g,13544_g
7	8	0.462	*	1009_g	1394_g	1648_g	1439_g	1368_g	4827_g	2027_g,2232_g
7	8	0.462	*	2636_g	2063_g	187_g	2107_g	2022_g	1117_g	2540_g,3221_g
7	8	0.462	*	3050_g	1769_g	1406_g	1816_g	1740_g	2513_g	9484_g,13182_g
7	8	0.462	268_g	6620_g	4439_g	2595_g	*	4443_g	4026_g	1796_g,979_g
7	8	0.458	*	3510_g	4501_g	2660_g	4613_g	4508_g	3963_g	1396_g,1242_g
7	8	0.451	*	1511_g	1205_g	1829_g	1251_g	1188_g	575_g	789_g,1606_g
7	8	0.451	*	3909_g	3257_g	942_g	3322_g	3237_g	3209_g	4726_g,5198_g
7	8	0.451	*	580_g	569_g	3603_g	584_g	546_g	4287_g	4992_g,5464_g
7	8	0.442	*	3066_g	1999_g	125_g	2040_g	1958_g	1059_g	3644_g,2963_g
7	8	0.44	*	1579_g	2163_g	2146_g	2217_g	2120_g	1215_g	4984_g,5456_g
7	8	0.44	*	3419_g	2405_g	2392_g	2435_g	2363_g	1456_g	9978_g,12542_g
7	8	0.44	*	3900_g	522_g	3648_g	538_g	501_g	1605_g	10461_g,12798_g
7	8	0.44	1415_g	1415_g	3873_g	4113_g	*	3866_g	2198_g	13641_g,9022_g
7	8	0.44	1431_g	6736_g	3964_g	4203_g	*	3961_g	2109_g	9210_g,13455_g
7	8	0.43	*	21_g	33_g	4706_g	40_g	30_g	903_g	7073_g,7843_g
7	8	0.43	*	3304_g	1323_g	1718_g	1369_g	1303_g	4760_g	3059_g,3740_g
7	8	0.43	*	3942_g	4664_g	2817_g	4774_g	4663_g	3808_g	10530_g,11327_g
7	8	0.423	*	3271_g	1704_g	1472_g	1759_g	1675_g	2575_g	4999_g,5471_g
7	8	0.423	1174_g	5089_g	386_g	597_g	394_g	376_g,5542_g	1731_g	*
7	8	0.408	*	4121_g	1740_g	1435_g	1783_g	1711_g	2541_g	2918_g,3599_g
7	8	0.398	*	1321_g	2450_g	2443_g	2521_g	2408_g	1496_g	9567_g,13099_g
7	8	0.398	*	2898_g	2732_g	4393_g	2797_g	2703_g	1978_g	10426_g,12833_g
7	8	0.392	*	1451_g	4661_g	2814_g	4770_g	4660_g	3811_g	2028_g,2231_g
7	8	0.375	*	2315_g	220_g	4527_g	234_g	210_g	4410_g	4596_g,8611_g
7	8	0.375	*	255_g	453_g	534_g	463_g	437_g	1672_g	10713_g,11510_g
7	8	0.375	*	2810_g	1345_g	1697_g	1392_g	1324_g	4780_g	9518_g,13148_g
7	8	0.375	*	2885_g	1078_g	1955_g	1111_g	1058_g	446_g	55_g,337_g
7	8	0.375	*	3065_g	1998_g	123_g	2038_g	1957_g	1058_g	9015_g,13648_g
7	8	0.375	*	3204_g	855_g	420_g	891_g	837_g	243_g	2946_g,3627_g
7	8	0.375	*	3372_g	1005_g	270_g	1039_g	987_g	376_g	9799_g,12725_g
7	8	0.375	*	498_g	2764_g	4357_g	2832_g	2737_g	1944_g	10318_g,12207_g
7	8	0.375	*	6506_g	997_g	276_g	1029_g	981_g	371_g	13568_g,9096_g
7	8	0.375	*	656_g	563_g	3609_g	578_g	540_g	1568_g	10262_g,12260_g
7	8	0.375	*	829_g	2103_g	817_g	2150_g	2061_g	1157_g	145_g,245_g
7	8	0.375	*	993_g	2346_g	2334_g	2413_g	2305_g	1399_g	5835_g,6413_g
7	8	0.375	5_g	3127_g	4022_g	4261_g	*	4023_g	2047_g	6968_g,7944_g
7	8	0.375	609_g	6503_g	4343_g	3788_g	*	4353_g	2875_g	1903_g,2359_g
7	8	0.375	616_g	*	1939_g	66_g	1976_g	1901_g	1003_g	9019_g,13644_g
7	8	0.375	920_g	*	675_g	3500_g	697_g	649_g	124_g	10860_g,11657_g
7	8	0.364	*	1474_g	129_g	4615_g	142_g	122_g	813_g	1844_g,1027_g
7	8	0.364	*	599_g	3008_g	1189_g	3077_g	2962_g	3448_g	9642_g,13022_g
7	8	0.362	*	3178_g	217_g	4531_g	230_g	206_g	4406_g	156_g,234_g
7	8	0.361	*	6633_g	1761_g	1414_g	1807_g	1732_g	2520_g	9197_g,13468_g
7	8	0.361	227_g	6879_g	1658_g	1518_g	*	1631_g	2621_g	10806_g,11603_g
7	8	0.358	568_g	3280_g	1855_g	1323_g	1896_g	*	2440_g	8632_g,3852_g
7	8	0.353	*	2155_g	1397_g	1644_g	1442_g	1372_g	4831_g	1902_g,2360_g
7	8	0.352	*	2791_g	2203_g	2186_g	2261_g	2159_g	1255_g	1989_g,2271_g
7	8	0.351	914_g	3130_g	4025_g	4264_g	*	4026_g	2044_g	3044_g,3725_g
7	8	0.35	*	1696_g	4582_g	2741_g	4694_g	4587_g	3891_g	1986_g,2274_g
7	8	0.345	*	1820_g	961_g	312_g	993_g	946_g	336_g	249_g,142_g
7	8	0.345	*	2598_g	3035_g	1216_g	3104_g	2988_g	3475_g	2545_g,3226_g
7	8	0.345	*	3884_g	1333_g	1708_g	1379_g	1313_g	4770_g	9557_g,13109_g
7	8	0.345	*	5530_g	1681_g	1495_g	1739_g	1654_g	2598_g	4646_g,5118_g
