# blastp, n = 154
#Query	Organism	Proteincd 	e-value	Identity [%]	Score
626_g   CHICK   RAF1    2e-09   28      65.1
628_g   CHICK   CLP1L   1e-63   44      223
639_g   CHICK   PCNA    5e-22   29      93.6
657_g   CHICK   RAB5B   6e-42   48      152
666_g   CHICK   ATPB    0.0     76      719
681_g   CHICK   RS17    3e-49   59      157
709_g   CHICK   DC1L1   1e-14   23      80.5
712_g   CHICK   NCLN    6e-10   24      65.9
722_g   CHICK   TYDP2   1e-28   31      120
723_g   CHICK   VAC14   5e-30   34      132
723_g   CHICK   VAC14   3e-17   30      91.3
730_g   CHICK   TNNC2   7e-05   26      43.5
733_g   CHICK   AB17B   7e-24   30      105
775_g   CHICK   SPON1   0.007   38      43.1
775_g   CHICK   SPON1   1.2     32      35.8
795_g   CHICK   NTF3    5.3     27      32.3
848_g   CHICK   CTDSL   5e-32   38      123
884_g   CHICK   ZFHX4   4.3     26      32.3
885_g   CHICK   DDX55   9.8     36      32.0
902_g   CHICK   NFYB    5e-06   31      48.5
904_g   CHICK   NTH     2e-58   45      199
916_g   CHICK   UB2V2   2e-39   50      132
916_g   CHICK   UB2V1   7e-39   49      130
941_g   CHICK   GLO2    5e-42   32      150
959_g   CHICK   AT1B3   9.1     33      31.2
965_g   CHICK   DPOE2   3e-17   28      85.5
975_g   CHICK   RB11A   2e-62   68      197
978_g   CHICK   DPH2    7e-20   21      97.4
978_g   CHICK   DPH2    5e-08   28      60.1
981_g   CHICK   PELO    2e-84   36      266
985_g   CHICK   AP3M1   6e-09   22      62.4
1017_g  CHICK   WDR91   8.2     29      30.0
1028_g  CHICK   CTHB1   0.100   36      39.3
1028_g  CHICK   CTHB1   1.9     35      35.0
1028_g  CHICK   CTHB1   7.8     36      33.1
1031_g  CHICK   RM15    5e-14   32      76.3
1040_g  CHICK   PTPRG   8e-04   30      43.9
1044_g  CHICK   DBR1    3e-93   50      298
1057_g  CHICK   SAT1    0.075   28      37.0
1059_g  CHICK   SLU7    4e-45   41      169
1059_g  CHICK   SLU7    3e-26   36      115
1082_g  CHICK   MCM9    2e-11   38      69.7
1082_g  CHICK   MCM9    3.2     32      33.9
1116_g  CHICK   MYPT1   2e-08   47      60.5
1116_g  CHICK   MYPT1   2e-05   49      50.4
1116_g  CHICK   MYPT1   4e-04   47      46.2
1116_g  CHICK   MYPT1   0.27    27      37.4
1118_g  CHICK   PEPE    5e-21   31      97.1
1118_g  CHICK   PEPA    1e-20   32      95.9
1118_g  CHICK   PEPA    8e-05   27      47.8
1135_g  CHICK   URM1    2e-12   29      61.2
1139_g  CHICK   BAZ2B   0.10    40      39.3
1153_g  CHICK   AB17B   1.1     24      32.7
1158_g  CHICK   SRCA    4e-06   25      52.4
1162_g  CHICK   DAAM2   6e-18   32      91.7
1173_g  CHICK   RL13    1e-28   41      109
1178_g  CHICK   CFA65   0.71    21      35.8
1191_g  CHICK   TBX6L   0.096   28      36.6
1196_g  CHICK   STXB1   1e-20   25      99.0
1196_g  CHICK   STXB1   0.11    40      38.9
1201_g  CHICK   ABITM   0.039   27      38.5
1201_g  CHICK   SPT2    1.7     29      34.7
1231_g  CHICK   ASND1   8e-04   32      45.4
1232_g  CHICK   ASND1   0.016   22      40.8
1240_g  CHICK   METL2   6e-23   56      100
1244_g  CHICK   CFDP1   1e-08   31      58.2
1261_g  CHICK   BT3L4   3e-07   34      52.0
1302_g  CHICK   UBP2    2e-10   24      66.6
1303_g  CHICK   SAS6    6.8     33      33.5
1306_g  CHICK   RAB2A   4e-57   58      179
1328_g  CHICK   HIRA    4e-15   30      83.6
1328_g  CHICK   CAF1B   5e-12   30      73.2
1328_g  CHICK   CAF1B   1e-07   41      59.3
1328_g  CHICK   CAF1B   0.026   20      42.0
1349_g  CHICK   FEN1    2.1     24      32.7
1351_g  CHICK   REQU    0.23    37      38.5
1351_g  CHICK   DPF1    0.59    45      37.4
1351_g  CHICK   KDM5B   1.5     29      36.6
1385_g  CHICK   PSB5    1e-75   46      234
1394_g  CHICK   NF2L1   5.4     31      32.0
1399_g  CHICK   RBG1L   5e-25   27      114

# blastx, n = 290
#Query	Organism	Proteincd 	e-value	Identity [%]	Score
494_g   ANAPL   APOA1   3.2     38      35.4 (Anas platyrhynchos, gräsand)
308_g   APTAU   MOS     0.36    37      36.2 (Apteryx australis, kivi!)
26_g    COTCO   MARE1   3e-32   46      127 (Coturnix coturnix, vaktel) 
26_g    COTCO   MARE1   1.4     37      35.0
26_g    COTJA   MARE1   3e-32   46      127 (Coturnix japonica)
26_g    COTJA   MARE1   1.4     37      35.0
639_g   COTJA   PCNA    4e-16   29      77.8
681_g   COTJA   RS17    4e-43   59      141
308_g   GYMCA   MOS     0.38    37      36.2 (Gymnogyps californianus, Kalifornienkondor)
127_g   MELGA   CYC     1e-20   43      84.3 (Meleagris gallopavo, kalkon)
308_g   NYCNY   MOS     0.36    37      36.2 (Nycticorax nycticorax, natthäger)
80_g    TAEGU   ARL3    5e-49   43      160 (Taeniopygia guttata, zebraink)
96_g    TAEGU   IF4A3   0.0     67      567
439_g   TAEGU   GET4    7e-11   21      65.9
8_g     CHICK   PRPF3   4e-22   35      105
20_g    CHICK   CLP1    1e-18   40      92.4
24_g    CHICK   RS12    1e-33   50      117
26_g    CHICK   MARE1   3e-32   46      127
26_g    CHICK   MARE1   1.5     23      34.7
56_g    CHICK   CCNL1   4e-48   38      170
71_g    CHICK   MRE11   3e-44   40      176
71_g    CHICK   MRE11   3e-12   50      75.5
77_g    CHICK   EPHA4   0.020   31      42.0
92_g    CHICK   DENR    3e-16   30      78.6
96_g    CHICK   IF4A3   0.0     67      567
141_g   CHICK   SBDS    2e-45   46      168
152_g   CHICK   TPPC3   4e-14   49      68.2
154_g   CHICK   ERD22   4e-26   52      103
164_g   CHICK   CHIP    2.8     24      35.8
165_g   CHICK   DCA13   2e-80   43      261
165_g   CHICK   DCA13   6e-31   41      128
201_g   CHICK   PGPS1   5e-33   38      139
201_g   CHICK   PGPS1   5e-04   22      47.8
201_g   CHICK   PGPS1   0.63    47      37.7
205_g   CHICK   EF1B    1e-05   25      48.5
211_g   CHICK   VPS53   5e-22   27      106
211_g   CHICK   VPS53   0.008   21      44.3
213_g   CHICK   REV1    9e-07   27      58.2
213_g   CHICK   REV1    0.012   24      44.7
231_g   CHICK   DMD     4.1     25      37.0
233_g   CHICK   TYW5    0.002   30      42.7
234_g   CHICK   TYW5    2e-18   35      90.1
234_g   CHICK   TYW5    0.024   26      41.2
241_g   CHICK   EPGN    4.1     33      33.9
251_g   CHICK   UTP15   2.5     26      36.2
255_g   CHICK   AB17B   1e-41   36      157
255_g   CHICK   AB17C   5e-39   34      150
292_g   CHICK   ADRM1   2e-07   51      51.2
377_g   CHICK   RABEK   1e-06   29      55.1
377_g   CHICK   RABEK   0.47    27      37.4
392_g   CHICK   T170A   0.47    34      35.8
408_g   CHICK   PNO1    2e-65   51      207
414_g   CHICK   SSRP1   5e-65   30      226
464_g   CHICK   RFC2    5e-108  52      322
469_g   CHICK   ERD22   5.0     37      30.8
475_g   CHICK   FIBB    7.0     45      29.6
498_g   CHICK   T2R40   2.8     40      35.0
519_g   CHICK   MYH11   3.8     33      35.4
545_g   CHICK   DDX1    4e-50   33      194
545_g   CHICK   DDX1    4e-19   29      97.8
549_g   CHICK   SEC62   0.006   26      42.0
563_g   CHICK   PSA1    4e-42   42      144
609_g   CHICK   PRP19   2e-107  36      332
626_g   CHICK   RAF1    1e-09   25      66.6
628_g   CHICK   CLP1L   2e-52   44      193
636_g   CHICK   CHIP    4.4     32      33.1
639_g   CHICK   PCNA    5e-17   29      80.1
657_g   CHICK   RAB5B   3e-41   48      151
666_g   CHICK   ATPB    0.0     76      678
681_g   CHICK   RS17    4e-43   59      141
693_g   CHICK   OST48   2e-04   27      48.1
709_g   CHICK   DC1L1   2e-15   23      83.6
712_g   CHICK   NCLN    6e-10   24      65.9
722_g   CHICK   TYDP2   4e-24   31      107
723_g   CHICK   VAC14   3e-30   30      133
723_g   CHICK   VAC14   2e-12   29      75.9
730_g   CHICK   TNNC2   8e-05   26      43.5
733_g   CHICK   AB17B   1e-23   31      104
772_g   CHICK   GPC1    2.8     23      34.3
786_g   CHICK   TM41B   3e-08   27      56.6
797_g   CHICK   HACE1   2.7     30      35.0
848_g   CHICK   CTDSL   7e-32   38      123
884_g   CHICK   ZFHX4   4.7     26      32.3
902_g   CHICK   NFYB    6e-05   33      45.4
904_g   CHICK   NTH     2e-57   44      197
916_g   CHICK   UB2V2   1e-39   50      132
916_g   CHICK   UB2V1   6e-39   49      131
941_g   CHICK   GLO2    6e-42   32      150
965_g   CHICK   DPOE2   6e-18   28      87.8
975_g   CHICK   RB11A   2e-50   68      166
978_g   CHICK   DPH2    4e-19   23      95.5
978_g   CHICK   DPH2    1e-07   28      59.3
981_g   CHICK   PELO    1e-72   36      236
985_g   CHICK   AP3M1   1e-06   22      55.1
1011_g  CHICK   CYTSA   8.1     26      34.3
1017_g  CHICK   WDR91   9.9     29      30.0
1031_g  CHICK   RM15    2e-14   31      77.4
1044_g  CHICK   DBR1    8e-92   50      294
1057_g  CHICK   SAT1    1.1     27      33.5
1059_g  CHICK   SLU7    9e-35   43      140
1059_g  CHICK   SLU7    1e-20   40      98.6
1082_g  CHICK   MCM9    3e-10   38      65.9
1082_g  CHICK   MCM9    5.5     32      33.5
1118_g  CHICK   PEPE    7e-21   31      96.7
1118_g  CHICK   PEPA    3e-20   32      94.7
1118_g  CHICK   PEPA    1e-04   27      47.4
1135_g  CHICK   URM1    2e-12   29      61.2
1151_g  CHICK   CCZ1    2.5     27      34.7
1153_g  CHICK   AB17B   2.5     27      32.0
1158_g  CHICK   SRCA    5e-06   25      52.4
1160_g  CHICK   RABEK   3e-05   26      51.2
1160_g  CHICK   RABEK   0.31    24      38.5
1162_g  CHICK   DAAM2   9e-18   32      90.9
1173_g  CHICK   RL13    4e-24   49      97.8
1178_g  CHICK   CFA65   0.79    21      35.8
1196_g  CHICK   STXB1   1e-14   23      80.9
1196_g  CHICK   STXB1   0.17    40      38.5
1231_g  CHICK   ASND1   3e-04   32      46.6
1235_g  CHICK   MYSC    2.3     48      33.1
1235_g  CHICK   MYSS    2.5     30      33.1
1240_g  CHICK   METL2   4e-22   56      98.6
1244_g  CHICK   CFDP1   1e-04   30      46.2
1261_g  CHICK   BT3L4   0.005   32      40.0
1302_g  CHICK   UBP2    5e-10   29      65.1
1306_g  CHICK   RAB2A   5e-57   58      179
1328_g  CHICK   HIRA    4e-11   32      70.9
1328_g  CHICK   CAF1B   1e-09   30      65.5
1328_g  CHICK   CAF1B   4e-07   44      57.4
1328_g  CHICK   CAF1B   2.3     48      35.8
1349_g  CHICK   FEN1    1.8     24      33.1
1351_g  CHICK   REQU    0.33    37      38.1
1351_g  CHICK   DPF1    0.61    45      37.4
1385_g  CHICK   PSB5    6e-68   46      214
1399_g  CHICK   RBG1L   2e-19   28      97.1
1407_g  CHICK   PPIL3   0.047   47      38.1
